surgery	Age	Hospital Number	rectal temperature	pulse	respiratory rate	temperature of extremitie	peripheral pulse	mucous membranes	capillary refill time	pain	peristalsis	abdominal distension	nasogastric tube	nasogastric reflux	nasogastric reflux PH	rectal examination - fece	abdomen	packed cell volume	total protein	abdominocentesis appearan	abdomcentesis total prote	outcome	surgical lesion	site of lesion	type of lesion	subtype of lesion	pathology_cp_data
_2	_1	_530101	38.50	66.00	28.00	_3	_3	?	_2	_5	_4	_4	?	?	4.96	_3	_5	45.00	8.40	?	2.95	_2	_2	_11300	_0	_0	_2
_1	_1	_534817	39.20	88.00	20.00	?	?	_4	_1	_3	_4	_2	?	?	4.96	_4	_2	50.00	85.00	_2	2.00	_3	_2	_2208	_0	_0	_2
_2	_1	_530334	38.30	40.00	24.00	_1	_1	_3	_1	_3	_3	_1	?	?	4.96	_1	_1	33.00	6.70	?	2.95	_1	_2	_0	_0	_0	_1
_1	_9	_5290410	39.10	164.00	84.00	_4	_1	_6	_2	_2	_4	_4	_1	_2	5.00	_3	?	48.00	7.20	_3	5.30	_2	_1	_2208	_0	_0	_1
_2	_1	_530255	37.30	104.00	35.00	?	?	_6	_2	?	?	?	?	?	4.96	?	?	74.00	7.40	?	2.95	_2	_2	_4300	_0	_0	_2
_2	_1	_528355	38.13	70.76	30.52	_2	_1	_3	_1	_2	_3	_2	_2	_1	4.96	_3	_3	45.66	24.77	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_526802	37.90	48.00	16.00	_1	_1	_1	_1	_3	_3	_3	_1	_1	4.96	_3	_5	37.00	7.00	?	2.95	_1	_1	_3124	_0	_0	_2
_1	_1	_529607	38.13	60.00	30.52	_3	?	?	_1	?	_4	_2	_2	_1	4.96	_3	_4	44.00	8.30	?	2.95	_2	_1	_2208	_0	_0	_2
_2	_1	_530051	38.13	80.00	36.00	_3	_4	_3	_1	_4	_4	_4	_2	_1	4.96	_3	_5	38.00	6.20	?	2.95	_3	_1	_3205	_0	_0	_2
_2	_9	_5299630	38.30	90.00	30.52	_1	?	_1	_1	_5	_3	_1	_2	_1	4.96	_3	?	40.00	6.20	_1	2.20	_1	_2	_0	_0	_0	_1
_1	_1	_528548	38.10	66.00	12.00	_3	_3	_5	_1	_3	_3	_1	_2	_1	3.00	_2	_5	44.00	6.00	_2	3.60	_1	_1	_2124	_0	_0	_1
_2	_1	_527927	39.10	72.00	52.00	_2	?	_2	_1	_2	_1	_2	_1	_1	4.96	_4	_4	50.00	7.80	?	2.95	_1	_1	_2111	_0	_0	_2
_1	_1	_528031	37.20	42.00	12.00	_2	_1	_1	_1	_3	_3	_3	_3	_1	4.96	_4	_5	45.66	7.00	?	2.95	_1	_2	_4124	_0	_0	_2
_2	_9	_5291330	38.00	92.00	28.00	_1	_1	_2	_1	_1	_3	_2	_3	?	7.20	_1	_1	37.00	6.10	_1	2.95	_2	_2	_0	_0	_0	_1
_1	_1	_534917	38.20	76.00	28.00	_3	_1	_1	_1	_3	_4	_1	_2	_2	4.96	_4	_4	46.00	81.00	_1	2.00	_1	_1	_2112	_0	_0	_2
_1	_1	_530233	37.60	96.00	48.00	_3	_1	_4	_1	_5	_3	_3	_2	_3	4.50	_4	?	45.00	6.80	?	2.95	_2	_1	_3207	_0	_0	_2
_1	_9	_5301220	38.13	128.00	36.00	_3	_3	_4	_2	_4	_4	_3	_3	?	4.96	_4	_5	53.00	7.80	_3	4.70	_2	_2	_1400	_0	_0	_1
_2	_1	_526639	37.50	48.00	24.00	?	?	?	?	?	?	?	?	?	4.96	?	?	45.66	24.77	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_5290480	37.60	64.00	21.00	_1	_1	_2	_1	_2	_3	_1	_1	_1	4.96	_2	_5	40.00	7.00	_1	2.95	_1	_1	_4205	_0	_0	_1
_2	_1	_532110	39.40	110.00	35.00	_4	_3	_6	?	?	_3	_3	?	?	4.96	?	?	55.00	8.70	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_530157	39.90	72.00	60.00	_1	_1	_5	_2	_5	_4	_4	_3	_1	4.96	_4	_4	46.00	6.10	_2	2.95	_1	_1	_2111	_0	_0	_2
_2	_1	_529340	38.40	48.00	16.00	_1	?	_1	_1	_1	_3	_1	_2	_3	5.50	_4	_3	49.00	6.80	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_521681	38.60	42.00	34.00	_2	_1	_4	?	_2	_3	_1	?	?	4.96	_1	?	48.00	7.20	?	2.95	_1	_1	_3111	_0	_0	_2
_1	_9	_534998	38.30	130.00	60.00	?	_3	?	_1	_2	_4	?	?	?	4.96	?	?	50.00	70.00	?	2.95	_1	_1	_3111	_0	_0	_2
_1	_1	_533692	38.10	60.00	12.00	_3	_3	_3	_1	?	_4	_3	_3	_2	2.00	?	?	51.00	65.00	?	2.95	_1	_1	_3111	_0	_0	_2
_2	_1	_529518	37.80	60.00	42.00	?	?	?	_1	?	?	?	?	?	4.96	?	?	45.66	24.77	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_530526	38.30	72.00	30.00	_4	_3	_3	_2	_3	_3	_3	_2	_1	4.96	_3	_5	43.00	7.00	_2	3.90	_1	_1	_3111	_0	_0	_1
_1	_1	_528653	37.80	48.00	12.00	_3	_1	_1	_1	?	_3	_2	_1	_1	4.96	_1	_3	37.00	5.50	_2	1.30	_1	_2	_4122	_0	_0	_1
_1	_1	_5279440	38.13	70.76	30.52	?	?	?	?	?	?	?	?	?	4.96	?	?	45.66	24.77	?	2.95	_2	_2	_4300	_0	_0	_2
_2	_1	_535415	37.70	48.00	30.52	_2	_1	_1	_1	_1	_1	_1	_1	_1	4.96	?	?	45.00	76.00	?	2.95	_1	_2	_0	_0	_0	_2
_2	_1	_529475	37.70	96.00	30.00	_3	_3	_4	_2	_5	_4	_4	_3	_2	4.00	_4	_5	66.00	7.50	?	2.95	_2	_1	_4205	_0	_0	_2
_2	_1	_530242	37.20	108.00	12.00	_3	_3	_4	_2	_2	_4	_2	?	_3	6.00	_3	_3	52.00	8.20	_3	7.40	_3	_1	_2207	_0	_0	_1
