surgery	Age	rectal_temperature	pulse	respiratory_rate	temp_extremities	peripheral_pulse	mucous_membranes	capillary_refill_time	pain	peristalsis	abdominal_distension	nasogastric_tube	nasogastric_reflux	nasogastric_reflux_PH	rectal_examination	abdomen	packed_cell_volume	total_protein	abdominocentesis_appearan	abdomcentesis_total_prote	outcome	surgical_lesion
no	adult	38.50	66.00	28.00	cool	reduced	?	'>=3'	'continuous severe pain'	absent	severe	?	?	4.96	decreased	'distended large intestin	45.00	8.40	?	2.95	died	no
yes	adult	39.20	88.00	20.00	?	?	'pale cyanotic'	'<3'	'intermittent mild pain'	absent	slight	?	?	4.96	absent	other	50.00	85.00	cloudy	2.00	euthanized	no
no	adult	38.30	40.00	24.00	normal	normal	'pale pink'	'<3'	'intermittent mild pain'	hypomotile	none	?	?	4.96	normal	normal	33.00	6.70	?	2.95	lived	no
yes	young	39.10	164.00	84.00	cold	normal	'dark cyanotic'	'>=3'	depressed	absent	severe	none	'>1l'	5.00	decreased	?	48.00	7.20	serosanguinous	5.30	died	yes
no	adult	37.30	104.00	35.00	?	?	'dark cyanotic'	'>=3'	?	?	?	?	?	4.96	?	?	74.00	7.40	?	2.95	died	no
no	adult	38.13	70.76	30.52	warm	normal	'pale pink'	'<3'	depressed	hypomotile	slight	slight	none	4.96	decreased	'firm feces in large inte	45.66	24.77	?	2.95	lived	no
yes	adult	37.90	48.00	16.00	normal	normal	'normal pink'	'<3'	'intermittent mild pain'	hypomotile	moderate	none	none	4.96	decreased	'distended large intestin	37.00	7.00	?	2.95	lived	yes
yes	adult	38.13	60.00	30.52	cool	?	?	'<3'	?	absent	slight	slight	none	4.96	decreased	'distended small intestin	44.00	8.30	?	2.95	died	yes
no	adult	38.13	80.00	36.00	cool	absent	'pale pink'	'<3'	'intermittent severe pain	absent	severe	slight	none	4.96	decreased	'distended large intestin	38.00	6.20	?	2.95	euthanized	yes
no	young	38.30	90.00	30.52	normal	?	'normal pink'	'<3'	'continuous severe pain'	hypomotile	none	slight	none	4.96	decreased	?	40.00	6.20	clear	2.20	lived	no
yes	adult	38.10	66.00	12.00	cool	reduced	'bright red'	'<3'	'intermittent mild pain'	hypomotile	none	slight	none	3.00	increased	'distended large intestin	44.00	6.00	cloudy	3.60	lived	yes
no	adult	39.10	72.00	52.00	warm	?	'bright pink'	'<3'	depressed	hypermotile	slight	none	none	4.96	absent	'distended small intestin	50.00	7.80	?	2.95	lived	yes
yes	adult	37.20	42.00	12.00	warm	normal	'normal pink'	'<3'	'intermittent mild pain'	hypomotile	moderate	significant	none	4.96	absent	'distended large intestin	45.66	7.00	?	2.95	lived	no
no	young	38.00	92.00	28.00	normal	normal	'bright pink'	'<3'	'alert no pain'	hypomotile	slight	significant	?	7.20	normal	normal	37.00	6.10	clear	2.95	died	no
