															
b	30.83	0.00	u	g	w	v	1.25	t	t	1.00	f	g	202.00	0.00	+
a	58.67	4.46	u	g	q	h	3.04	t	t	6.00	f	g	43.00	560.00	+
a	24.50	0.50	u	g	q	h	1.50	t	f	0.00	f	g	280.00	824.00	+
b	27.83	1.54	u	g	w	v	3.75	t	t	5.00	t	g	100.00	3.00	+
b	20.17	5.63	u	g	w	v	1.71	t	f	0.00	f	s	120.00	0.00	+
b	32.08	4.00	u	g	m	v	2.50	t	f	0.00	t	g	360.00	0.00	+
b	33.17	1.04	u	g	r	h	6.50	t	f	0.00	t	g	164.00	31285.00	+
a	22.92	11.59	u	g	cc	v	0.04	t	f	0.00	f	g	80.00	1349.00	+
b	54.42	0.50	y	p	k	h	3.96	t	f	0.00	f	g	180.00	314.00	+
b	42.50	4.91	y	p	w	v	3.16	t	f	0.00	t	g	52.00	1442.00	+
b	22.08	0.83	u	g	c	h	2.16	f	f	0.00	t	g	128.00	0.00	+
b	29.92	1.84	u	g	c	h	4.34	t	f	0.00	f	g	260.00	200.00	+
a	38.25	6.00	u	g	k	v	1.00	t	f	0.00	t	g	0.00	0.00	+
b	48.08	6.04	u	g	k	v	0.04	f	f	0.00	f	g	0.00	2690.00	+
a	45.83	10.50	u	g	q	v	5.00	t	t	7.00	t	g	0.00	0.00	+
b	36.67	4.41	y	p	k	v	0.25	t	t	10.00	t	g	320.00	0.00	+
b	28.25	0.88	u	g	m	v	0.96	t	t	3.00	t	g	396.00	0.00	+
a	23.25	5.88	u	g	q	v	3.17	t	t	10.00	f	g	120.00	245.00	+
b	21.83	0.25	u	g	d	h	0.67	t	f	0.00	t	g	0.00	0.00	+
a	19.17	8.59	u	g	cc	h	0.75	t	t	7.00	f	g	96.00	0.00	+
b	25.00	11.25	u	g	c	v	2.50	t	t	17.00	f	g	200.00	1208.00	+
b	23.25	1.00	u	g	c	v	0.83	t	f	0.00	f	s	300.00	0.00	+
a	47.75	8.00	u	g	c	v	7.88	t	t	6.00	t	g	0.00	1260.00	+
a	27.42	14.50	u	g	x	h	3.09	t	t	1.00	f	g	120.00	11.00	+
a	41.17	6.50	u	g	q	v	0.50	t	t	3.00	t	g	145.00	0.00	+
a	15.83	0.58	u	g	c	h	1.50	t	t	2.00	f	g	100.00	0.00	+
a	47.00	13.00	u	g	i	bb	5.16	t	t	9.00	t	g	0.00	0.00	+
b	56.58	18.50	u	g	d	bb	15.00	t	t	17.00	t	g	0.00	0.00	+
b	57.42	8.50	u	g	e	h	7.00	t	t	3.00	f	g	0.00	0.00	+
b	42.08	1.04	u	g	w	v	5.00	t	t	6.00	t	g	500.00	10000.00	+
b	29.25	14.79	u	g	aa	v	5.04	t	t	5.00	t	g	168.00	0.00	+
b	42.00	9.79	u	g	x	h	7.96	t	t	8.00	f	g	0.00	0.00	+
b	49.50	7.59	u	g	i	bb	7.59	t	t	15.00	t	g	0.00	5000.00	+
a	36.75	5.13	u	g	e	v	5.00	t	f	0.00	t	g	0.00	4000.00	+
a	22.58	10.75	u	g	q	v	0.41	t	t	5.00	t	g	0.00	560.00	+
b	27.83	1.50	u	g	w	v	2.00	t	t	11.00	t	g	434.00	35.00	+
b	27.25	1.59	u	g	cc	h	1.84	t	t	12.00	t	g	583.00	713.00	+
a	23.00	11.75	u	g	x	h	0.50	t	t	2.00	t	g	300.00	551.00	+
b	27.75	0.58	y	p	cc	v	0.25	t	t	2.00	f	g	260.00	500.00	+
b	54.58	9.41	u	g	ff	ff	14.41	t	t	11.00	t	g	30.00	300.00	+
b	34.17	9.17	u	g	c	v	4.50	t	t	12.00	t	g	0.00	221.00	+
b	28.92	15.00	u	g	c	h	5.34	t	t	11.00	f	g	0.00	2283.00	+
b	29.67	1.41	u	g	w	h	0.75	t	t	1.00	f	g	240.00	100.00	+
