checking_status	duration	credit_history	purpose	credit_amount	savings_status	employment	installment_commitment	personal_status	other_parties	residence_since	property_magnitude	age	other_payment_plans	housing	existing_credits	job	num_dependents	own_telephone	foreign_worker	class
'<0'	6.00	'critical/other existing 	radio/tv	1169.00	'no known savings'	'>=7'	4.00	'male single'	none	4.00	'real estate'	67.00	none	own	2.00	skilled	1.00	yes	yes	good
'0<=X<200'	48.00	'existing paid'	radio/tv	5951.00	'<100'	'1<=X<4'	2.00	'female div/dep/mar'	none	2.00	'real estate'	22.00	none	own	1.00	skilled	1.00	none	yes	bad
'no checking'	12.00	'critical/other existing 	education	2096.00	'<100'	'4<=X<7'	2.00	'male single'	none	3.00	'real estate'	49.00	none	own	1.00	'unskilled resident'	2.00	none	yes	good
'<0'	42.00	'existing paid'	furniture/equipment	7882.00	'<100'	'4<=X<7'	2.00	'male single'	guarantor	4.00	'life insurance'	45.00	none	'for free'	1.00	skilled	2.00	none	yes	good
'<0'	24.00	'delayed previously'	'new car'	4870.00	'<100'	'1<=X<4'	3.00	'male single'	none	4.00	'no known property'	53.00	none	'for free'	2.00	skilled	2.00	none	yes	bad
'no checking'	36.00	'existing paid'	education	9055.00	'no known savings'	'1<=X<4'	2.00	'male single'	none	4.00	'no known property'	35.00	none	'for free'	1.00	'unskilled resident'	2.00	yes	yes	good
'no checking'	24.00	'existing paid'	furniture/equipment	2835.00	'500<=X<1000'	'>=7'	3.00	'male single'	none	4.00	'life insurance'	53.00	none	own	1.00	skilled	1.00	none	yes	good
'0<=X<200'	36.00	'existing paid'	'used car'	6948.00	'<100'	'1<=X<4'	2.00	'male single'	none	2.00	car	35.00	none	rent	1.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'no checking'	12.00	'existing paid'	radio/tv	3059.00	'>=1000'	'4<=X<7'	2.00	'male div/sep'	none	4.00	'real estate'	61.00	none	own	1.00	'unskilled resident'	1.00	none	yes	good
'0<=X<200'	30.00	'critical/other existing 	'new car'	5234.00	'<100'	unemployed	4.00	'male mar/wid'	none	2.00	car	28.00	none	own	2.00	'high qualif/self emp/mgm	1.00	none	yes	bad
'0<=X<200'	12.00	'existing paid'	'new car'	1295.00	'<100'	'<1'	3.00	'female div/dep/mar'	none	1.00	car	25.00	none	rent	1.00	skilled	1.00	none	yes	bad
'<0'	48.00	'existing paid'	business	4308.00	'<100'	'<1'	3.00	'female div/dep/mar'	none	4.00	'life insurance'	24.00	none	rent	1.00	skilled	1.00	none	yes	bad
'0<=X<200'	12.00	'existing paid'	radio/tv	1567.00	'<100'	'1<=X<4'	1.00	'female div/dep/mar'	none	1.00	car	22.00	none	own	1.00	skilled	1.00	yes	yes	good
'<0'	24.00	'critical/other existing 	'new car'	1199.00	'<100'	'>=7'	4.00	'male single'	none	4.00	car	60.00	none	own	2.00	'unskilled resident'	1.00	none	yes	bad
'<0'	15.00	'existing paid'	'new car'	1403.00	'<100'	'1<=X<4'	2.00	'female div/dep/mar'	none	4.00	car	28.00	none	rent	1.00	skilled	1.00	none	yes	good
'<0'	24.00	'existing paid'	radio/tv	1282.00	'100<=X<500'	'1<=X<4'	4.00	'female div/dep/mar'	none	2.00	car	32.00	none	own	1.00	'unskilled resident'	1.00	none	yes	bad
'no checking'	24.00	'critical/other existing 	radio/tv	2424.00	'no known savings'	'>=7'	4.00	'male single'	none	4.00	'life insurance'	53.00	none	own	2.00	skilled	1.00	none	yes	good
'<0'	30.00	'no credits/all paid'	business	8072.00	'no known savings'	'<1'	2.00	'male single'	none	3.00	car	25.00	bank	own	3.00	skilled	1.00	none	yes	good
'0<=X<200'	24.00	'existing paid'	'used car'	12579.00	'<100'	'>=7'	4.00	'female div/dep/mar'	none	2.00	'no known property'	44.00	none	'for free'	1.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'no checking'	24.00	'existing paid'	radio/tv	3430.00	'500<=X<1000'	'>=7'	3.00	'male single'	none	2.00	car	31.00	none	own	1.00	skilled	2.00	yes	yes	good
'no checking'	9.00	'critical/other existing 	'new car'	2134.00	'<100'	'1<=X<4'	4.00	'male single'	none	4.00	car	48.00	none	own	3.00	skilled	1.00	yes	yes	good
'<0'	6.00	'existing paid'	radio/tv	2647.00	'500<=X<1000'	'1<=X<4'	2.00	'male single'	none	3.00	'real estate'	44.00	none	rent	1.00	skilled	2.00	none	yes	good
'<0'	10.00	'critical/other existing 	'new car'	2241.00	'<100'	'<1'	1.00	'male single'	none	3.00	'real estate'	48.00	none	rent	2.00	'unskilled resident'	2.00	none	no	good
'0<=X<200'	12.00	'critical/other existing 	'used car'	1804.00	'100<=X<500'	'<1'	3.00	'male single'	none	4.00	'life insurance'	44.00	none	own	1.00	skilled	1.00	none	yes	good
'no checking'	10.00	'critical/other existing 	furniture/equipment	2069.00	'no known savings'	'1<=X<4'	2.00	'male mar/wid'	none	1.00	car	26.00	none	own	2.00	skilled	1.00	none	no	good
'<0'	6.00	'existing paid'	furniture/equipment	1374.00	'<100'	'1<=X<4'	1.00	'male single'	none	2.00	'real estate'	36.00	bank	own	1.00	'unskilled resident'	1.00	yes	yes	good
'no checking'	6.00	'no credits/all paid'	radio/tv	426.00	'<100'	'>=7'	4.00	'male mar/wid'	none	4.00	car	39.00	none	own	1.00	'unskilled resident'	1.00	none	yes	good
'>=200'	12.00	'all paid'	radio/tv	409.00	'>=1000'	'1<=X<4'	3.00	'female div/dep/mar'	none	3.00	'real estate'	42.00	none	rent	2.00	skilled	1.00	none	yes	good
'0<=X<200'	7.00	'existing paid'	radio/tv	2415.00	'<100'	'1<=X<4'	3.00	'male single'	guarantor	2.00	'real estate'	34.00	none	own	1.00	skilled	1.00	none	yes	good
'<0'	60.00	'delayed previously'	business	6836.00	'<100'	'>=7'	3.00	'male single'	none	4.00	'no known property'	63.00	none	own	2.00	skilled	1.00	yes	yes	bad
'0<=X<200'	18.00	'existing paid'	business	1913.00	'>=1000'	'<1'	3.00	'male mar/wid'	none	3.00	'real estate'	36.00	bank	own	1.00	skilled	1.00	yes	yes	good
'<0'	24.00	'existing paid'	furniture/equipment	4020.00	'<100'	'1<=X<4'	2.00	'male single'	none	2.00	car	27.00	stores	own	1.00	skilled	1.00	none	yes	good
'0<=X<200'	18.00	'existing paid'	'new car'	5866.00	'100<=X<500'	'1<=X<4'	2.00	'male single'	none	2.00	car	30.00	none	own	2.00	skilled	1.00	yes	yes	good
'no checking'	12.00	'critical/other existing 	business	1264.00	'no known savings'	'>=7'	4.00	'male single'	none	4.00	'no known property'	57.00	none	rent	1.00	'unskilled resident'	1.00	none	yes	good
'>=200'	12.00	'existing paid'	furniture/equipment	1474.00	'<100'	'<1'	4.00	'female div/dep/mar'	none	1.00	'life insurance'	33.00	bank	own	1.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'0<=X<200'	45.00	'critical/other existing 	radio/tv	4746.00	'<100'	'<1'	4.00	'male single'	none	2.00	'life insurance'	25.00	none	own	2.00	'unskilled resident'	1.00	none	yes	bad
'no checking'	48.00	'critical/other existing 	education	6110.00	'<100'	'1<=X<4'	1.00	'male single'	none	3.00	'no known property'	31.00	bank	'for free'	1.00	skilled	1.00	yes	yes	good
'>=200'	18.00	'existing paid'	radio/tv	2100.00	'<100'	'1<=X<4'	4.00	'male single'	'co applicant'	2.00	'real estate'	37.00	stores	own	1.00	skilled	1.00	none	yes	bad
'>=200'	10.00	'existing paid'	'domestic appliance'	1225.00	'<100'	'1<=X<4'	2.00	'male single'	none	2.00	car	37.00	none	own	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	9.00	'existing paid'	radio/tv	458.00	'<100'	'1<=X<4'	4.00	'male single'	none	3.00	'real estate'	24.00	none	own	1.00	skilled	1.00	none	yes	good
'no checking'	30.00	'existing paid'	radio/tv	2333.00	'500<=X<1000'	'>=7'	4.00	'male single'	none	2.00	car	30.00	bank	own	1.00	'high qualif/self emp/mgm	1.00	none	yes	good
'0<=X<200'	12.00	'existing paid'	radio/tv	1158.00	'500<=X<1000'	'1<=X<4'	3.00	'male div/sep'	none	1.00	car	26.00	none	own	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	18.00	'delayed previously'	repairs	6204.00	'<100'	'1<=X<4'	2.00	'male single'	none	4.00	'real estate'	44.00	none	own	1.00	'unskilled resident'	2.00	yes	yes	good
'<0'	30.00	'critical/other existing 	'used car'	6187.00	'100<=X<500'	'4<=X<7'	1.00	'male mar/wid'	none	4.00	car	24.00	none	rent	2.00	skilled	1.00	none	yes	good
'<0'	48.00	'critical/other existing 	'used car'	6143.00	'<100'	'>=7'	4.00	'female div/dep/mar'	none	4.00	'no known property'	58.00	stores	'for free'	2.00	'unskilled resident'	1.00	none	yes	bad
'no checking'	11.00	'critical/other existing 	'new car'	1393.00	'<100'	'<1'	4.00	'female div/dep/mar'	none	4.00	car	35.00	none	own	2.00	'high qualif/self emp/mgm	1.00	none	yes	good
'no checking'	36.00	'existing paid'	radio/tv	2299.00	'500<=X<1000'	'>=7'	4.00	'male single'	none	4.00	car	39.00	none	own	1.00	skilled	1.00	none	yes	good
