a01	a02	a03	a04	a05	a06	a07	a08	a09	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	a22	a23	a24	a25	a26	a27	a28	a29	a30	a31	a32	a33	a34	class
1.00	0.00	1.00	-0.06	0.85	0.02	0.83	-0.38	1.00	0.04	0.85	-0.18	0.60	-0.45	0.61	-0.38	0.84	-0.39	0.58	-0.32	0.57	-0.30	0.37	-0.47	0.57	-0.51	0.41	-0.46	0.21	-0.34	0.42	-0.54	0.19	-0.45	g
1.00	0.00	1.00	-0.19	0.93	-0.36	-0.11	-0.94	1.00	-0.05	0.51	-0.68	0.34	-0.70	-0.52	-0.98	0.05	-0.62	0.33	-1.00	-0.13	-0.45	-0.18	-0.36	-0.20	-0.27	-0.20	-0.18	-0.19	-0.12	-0.17	-0.06	-0.14	-0.02	b
1.00	0.00	1.00	-0.03	1.00	0.00	1.00	-0.12	0.89	0.01	0.73	0.05	0.85	0.01	0.55	0.00	0.84	-0.14	0.76	-0.09	0.71	-0.28	0.43	-0.12	0.58	-0.40	0.59	-0.22	0.43	-0.17	0.60	-0.24	0.56	-0.38	g
1.00	0.00	1.00	-0.45	1.00	1.00	0.71	-1.00	0.00	0.00	0.00	0.00	0.00	0.00	-1.00	0.15	0.54	-0.39	-1.00	-0.54	-0.70	1.00	0.00	0.00	1.00	0.91	0.52	1.00	1.00	-0.20	0.26	1.00	-0.32	1.00	b
1.00	0.00	1.00	-0.02	0.94	0.07	0.92	-0.23	0.77	-0.16	0.53	-0.20	0.56	-0.01	0.34	-0.27	0.53	-0.22	0.45	-0.18	0.06	-0.36	0.02	-0.53	0.03	-0.65	0.13	-0.53	0.02	-0.62	-0.06	-0.60	-0.05	-0.66	g
1.00	0.00	0.02	-0.01	-0.10	-0.12	-0.01	-0.12	0.15	0.07	0.04	-0.06	0.00	0.00	-0.05	-0.16	0.00	-0.10	-0.12	-0.05	0.02	0.04	0.02	0.01	0.04	-0.02	-0.03	0.09	-0.08	0.01	0.00	0.00	0.00	0.12	b
1.00	0.00	0.98	-0.11	0.95	-0.21	0.93	-0.28	0.86	-0.27	0.80	-0.48	0.78	-0.51	0.75	-0.61	0.58	-0.68	0.38	-0.74	0.36	-0.77	0.32	-0.80	0.23	-0.82	0.14	-0.83	0.05	-0.82	-0.04	-0.81	-0.14	-0.81	g
0.00	0.00	0.00	0.00	0.00	0.00	1.00	-1.00	0.00	0.00	-1.00	-1.00	0.00	0.00	0.00	0.00	1.00	1.00	-1.00	-1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.00	1.00	1.00	0.00	0.00	b
1.00	0.00	0.96	-0.07	1.00	-0.14	1.00	-0.21	1.00	-0.36	0.93	-0.44	0.95	-0.41	0.90	-0.46	0.98	-0.35	0.85	-0.66	0.75	-0.61	0.70	-0.64	0.85	-0.65	0.58	-0.70	0.25	-0.64	0.45	-0.73	0.39	-0.73	g
1.00	0.00	-0.02	-0.08	0.00	0.00	0.00	0.00	0.11	-0.27	-0.46	-0.38	0.00	0.00	-0.34	0.39	-0.37	0.15	0.64	0.22	0.00	0.00	0.00	0.00	-0.15	-0.01	0.21	-0.02	0.00	0.00	0.17	0.24	-0.08	0.38	b
1.00	0.00	1.00	0.07	1.00	-0.18	1.00	-0.27	1.00	-0.43	1.00	-0.41	0.96	-0.52	0.91	-0.59	0.89	-0.66	0.70	-0.71	0.71	-0.76	0.63	-0.81	0.56	-0.89	0.47	-0.87	0.40	-0.84	0.31	-0.89	0.23	-0.89	g
1.00	0.00	1.00	-0.54	1.00	-1.00	1.00	-1.00	1.00	0.36	1.00	-0.41	1.00	1.00	1.00	-1.00	1.00	-0.29	1.00	-0.94	1.00	1.00	1.00	1.00	1.00	-0.41	1.00	-0.63	1.00	-1.00	1.00	-1.00	1.00	-1.00	b
1.00	0.00	1.00	-0.16	1.00	-0.10	1.00	-0.15	1.00	-0.19	0.94	-0.35	0.96	-0.30	0.94	-0.34	0.94	-0.28	0.90	-0.43	0.86	-0.47	0.83	-0.51	0.84	-0.47	0.76	-0.58	0.66	-0.69	0.69	-0.65	0.65	-0.67	g
1.00	0.00	1.00	-0.87	1.00	0.22	0.85	-0.40	1.00	-0.12	1.00	0.35	1.00	0.08	1.00	-0.15	1.00	-1.00	1.00	-1.00	0.62	0.16	1.00	0.62	1.00	-0.17	1.00	0.36	1.00	-0.66	1.00	0.88	1.00	-0.19	b
