x-box	y-box	width	high	onpix	x-bar	y-bar	x2bar	y2bar	xybar	x2ybr	xy2br	x-ege	xegvy	y-ege	yegvx	class
2.00	4.00	4.00	3.00	2.00	7.00	8.00	2.00	9.00	11.00	7.00	7.00	1.00	8.00	5.00	6.00	Z
4.00	7.00	5.00	5.00	5.00	5.00	9.00	6.00	4.00	8.00	7.00	9.00	2.00	9.00	7.00	10.00	P
7.00	10.00	8.00	7.00	4.00	8.00	8.00	5.00	10.00	11.00	2.00	8.00	2.00	5.00	5.00	10.00	S
4.00	9.00	5.00	7.00	4.00	7.00	7.00	13.00	1.00	7.00	6.00	8.00	3.00	8.00	0.00	8.00	H
6.00	7.00	8.00	5.00	4.00	7.00	6.00	3.00	7.00	10.00	7.00	9.00	3.00	8.00	3.00	7.00	H
4.00	7.00	5.00	5.00	3.00	4.00	12.00	2.00	5.00	13.00	7.00	5.00	1.00	10.00	1.00	7.00	F
6.00	10.00	8.00	8.00	4.00	7.00	8.00	2.00	5.00	10.00	7.00	8.00	5.00	8.00	1.00	8.00	N
1.00	0.00	2.00	0.00	1.00	6.00	10.00	7.00	2.00	7.00	5.00	8.00	2.00	7.00	4.00	9.00	R
5.00	9.00	7.00	6.00	7.00	7.00	7.00	2.00	4.00	9.00	8.00	9.00	7.00	6.00	2.00	8.00	M
1.00	0.00	2.00	1.00	1.00	5.00	7.00	8.00	6.00	7.00	6.00	6.00	2.00	8.00	3.00	8.00	D
2.00	7.00	4.00	5.00	1.00	9.00	8.00	4.00	2.00	5.00	13.00	8.00	3.00	10.00	0.00	8.00	V
3.00	11.00	5.00	8.00	3.00	13.00	4.00	5.00	3.00	12.00	1.00	8.00	2.00	6.00	4.00	9.00	A
3.00	7.00	5.00	5.00	5.00	8.00	7.00	4.00	4.00	7.00	6.00	7.00	4.00	6.00	8.00	13.00	K
3.00	8.00	5.00	6.00	4.00	8.00	8.00	4.00	5.00	9.00	5.00	4.00	3.00	8.00	3.00	7.00	D
8.00	11.00	9.00	8.00	6.00	7.00	8.00	3.00	6.00	10.00	5.00	7.00	4.00	6.00	6.00	8.00	S
7.00	11.00	10.00	8.00	9.00	9.00	7.00	3.00	6.00	10.00	4.00	7.00	5.00	6.00	4.00	9.00	H
5.00	5.00	5.00	7.00	3.00	3.00	7.00	6.00	12.00	7.00	6.00	15.00	0.00	8.00	7.00	6.00	E
2.00	4.00	5.00	3.00	2.00	7.00	8.00	2.00	9.00	11.00	7.00	7.00	1.00	8.00	5.00	6.00	Z
4.00	7.00	6.00	5.00	4.00	8.00	9.00	8.00	4.00	7.00	7.00	7.00	3.00	8.00	3.00	8.00	O
4.00	6.00	4.00	7.00	5.00	8.00	8.00	6.00	2.00	7.00	7.00	11.00	3.00	9.00	5.00	8.00	Q
5.00	10.00	7.00	9.00	3.00	8.00	5.00	9.00	8.00	6.00	4.00	8.00	3.00	8.00	4.00	8.00	Q
3.00	7.00	3.00	5.00	1.00	1.00	1.00	5.00	5.00	0.00	1.00	6.00	0.00	8.00	0.00	8.00	L
1.00	1.00	2.00	1.00	0.00	7.00	9.00	4.00	2.00	7.00	13.00	8.00	2.00	10.00	0.00	8.00	V
2.00	1.00	3.00	2.00	1.00	8.00	7.00	3.00	8.00	6.00	6.00	8.00	2.00	8.00	5.00	8.00	X
8.00	9.00	10.00	8.00	12.00	7.00	6.00	5.00	5.00	7.00	6.00	8.00	7.00	10.00	6.00	9.00	V
5.00	10.00	8.00	7.00	11.00	9.00	6.00	2.00	2.00	8.00	4.00	8.00	10.00	5.00	3.00	6.00	M
5.00	6.00	5.00	4.00	3.00	4.00	9.00	1.00	7.00	10.00	10.00	6.00	1.00	10.00	2.00	4.00	Y
2.00	5.00	4.00	4.00	3.00	9.00	6.00	4.00	6.00	10.00	4.00	6.00	2.00	8.00	3.00	8.00	D
3.00	8.00	5.00	6.00	5.00	7.00	7.00	4.00	8.00	7.00	7.00	8.00	3.00	8.00	5.00	10.00	E
4.00	7.00	6.00	5.00	4.00	11.00	7.00	3.00	5.00	10.00	1.00	4.00	5.00	9.00	1.00	7.00	N
4.00	10.00	6.00	7.00	2.00	9.00	4.00	3.00	2.00	8.00	1.00	8.00	3.00	7.00	3.00	8.00	A
3.00	4.00	4.00	3.00	3.00	7.00	7.00	6.00	7.00	7.00	6.00	5.00	2.00	8.00	3.00	7.00	D
4.00	8.00	5.00	6.00	4.00	9.00	9.00	6.00	4.00	7.00	5.00	8.00	3.00	8.00	10.00	7.00	Z
3.00	5.00	5.00	3.00	2.00	5.00	9.00	3.00	4.00	10.00	8.00	8.00	5.00	8.00	0.00	7.00	N
4.00	11.00	5.00	8.00	2.00	7.00	7.00	4.00	4.00	7.00	6.00	8.00	3.00	8.00	4.00	8.00	X
4.00	9.00	6.00	7.00	7.00	6.00	8.00	1.00	4.00	10.00	8.00	7.00	6.00	11.00	4.00	5.00	F
6.00	9.00	5.00	4.00	2.00	6.00	9.00	4.00	5.00	4.00	4.00	10.00	5.00	10.00	2.00	8.00	N
3.00	4.00	4.00	7.00	1.00	0.00	1.00	6.00	6.00	0.00	0.00	6.00	0.00	8.00	0.00	8.00	L
4.00	5.00	6.00	4.00	3.00	7.00	8.00	2.00	5.00	10.00	6.00	6.00	5.00	9.00	1.00	7.00	N
1.00	3.00	3.00	2.00	1.00	7.00	8.00	2.00	9.00	11.00	6.00	8.00	1.00	8.00	5.00	7.00	Z
6.00	9.00	6.00	4.00	3.00	7.00	6.00	4.00	4.00	9.00	9.00	5.00	3.00	10.00	4.00	4.00	Y
0.00	0.00	0.00	1.00	0.00	7.00	7.00	4.00	4.00	7.00	6.00	8.00	0.00	8.00	0.00	8.00	I
8.00	11.00	8.00	8.00	9.00	4.00	10.00	2.00	3.00	9.00	8.00	7.00	9.00	13.00	3.00	5.00	W
2.00	1.00	3.00	2.00	2.00	7.00	9.00	5.00	6.00	7.00	9.00	9.00	3.00	9.00	1.00	8.00	U
6.00	10.00	4.00	5.00	2.00	8.00	7.00	6.00	5.00	9.00	4.00	7.00	5.00	9.00	5.00	9.00	O
3.00	4.00	4.00	3.00	2.00	5.00	12.00	3.00	6.00	11.00	9.00	4.00	1.00	11.00	1.00	5.00	T
4.00	5.00	6.00	4.00	4.00	7.00	6.00	5.00	5.00	8.00	5.00	8.00	3.00	7.00	5.00	6.00	O
4.00	7.00	6.00	10.00	9.00	8.00	9.00	4.00	0.00	8.00	7.00	6.00	5.00	11.00	5.00	7.00	P
2.00	3.00	2.00	2.00	1.00	4.00	9.00	5.00	6.00	12.00	9.00	10.00	1.00	9.00	2.00	7.00	C
3.00	7.00	4.00	5.00	2.00	6.00	6.00	6.00	6.00	10.00	8.00	11.00	2.00	10.00	4.00	9.00	G
4.00	8.00	6.00	6.00	8.00	8.00	7.00	5.00	3.00	7.00	7.00	7.00	6.00	10.00	8.00	9.00	B
3.00	4.00	4.00	3.00	3.00	5.00	7.00	4.00	7.00	7.00	6.00	11.00	3.00	8.00	5.00	9.00	K
8.00	8.00	8.00	6.00	5.00	3.00	10.00	3.00	4.00	11.00	10.00	8.00	8.00	10.00	2.00	6.00	W
2.00	6.00	4.00	4.00	2.00	9.00	11.00	3.00	4.00	4.00	11.00	8.00	2.00	10.00	1.00	8.00	V
4.00	6.00	6.00	4.00	5.00	7.00	11.00	2.00	2.00	7.00	8.00	8.00	6.00	11.00	1.00	8.00	W
5.00	11.00	7.00	8.00	7.00	6.00	6.00	6.00	5.00	6.00	5.00	8.00	6.00	6.00	7.00	10.00	H
4.00	9.00	4.00	7.00	4.00	7.00	8.00	3.00	12.00	9.00	6.00	8.00	0.00	8.00	7.00	7.00	Z
1.00	4.00	2.00	3.00	1.00	9.00	6.00	2.00	6.00	12.00	4.00	9.00	1.00	7.00	1.00	7.00	J
2.00	4.00	4.00	3.00	1.00	5.00	11.00	3.00	4.00	13.00	7.00	4.00	1.00	9.00	1.00	7.00	F
5.00	10.00	7.00	8.00	6.00	7.00	7.00	8.00	5.00	7.00	6.00	5.00	4.00	8.00	3.00	7.00	D
3.00	5.00	5.00	4.00	2.00	8.00	7.00	3.00	8.00	11.00	5.00	7.00	1.00	9.00	5.00	8.00	S
8.00	13.00	7.00	8.00	3.00	7.00	8.00	3.00	9.00	13.00	5.00	6.00	2.00	9.00	5.00	5.00	T
4.00	9.00	5.00	7.00	5.00	8.00	9.00	8.00	4.00	7.00	8.00	7.00	4.00	7.00	4.00	9.00	O
2.00	6.00	3.00	4.00	3.00	8.00	7.00	5.00	9.00	7.00	7.00	7.00	1.00	8.00	7.00	8.00	Z
3.00	9.00	4.00	7.00	3.00	6.00	7.00	10.00	6.00	7.00	6.00	7.00	2.00	8.00	9.00	10.00	B
3.00	2.00	4.00	3.00	2.00	6.00	10.00	4.00	5.00	10.00	9.00	5.00	2.00	9.00	3.00	6.00	F
6.00	9.00	10.00	7.00	11.00	10.00	5.00	3.00	2.00	9.00	4.00	8.00	11.00	6.00	4.00	7.00	M
2.00	6.00	4.00	4.00	1.00	8.00	15.00	1.00	5.00	6.00	11.00	8.00	0.00	8.00	0.00	8.00	T
7.00	11.00	5.00	6.00	3.00	6.00	7.00	5.00	4.00	7.00	4.00	7.00	5.00	8.00	5.00	7.00	O
2.00	4.00	3.00	3.00	2.00	5.00	7.00	4.00	6.00	6.00	6.00	11.00	3.00	8.00	4.00	10.00	K
1.00	4.00	3.00	3.00	1.00	7.00	7.00	2.00	9.00	11.00	6.00	8.00	1.00	8.00	5.00	8.00	Z
3.00	4.00	4.00	3.00	1.00	5.00	13.00	3.00	6.00	12.00	9.00	4.00	1.00	11.00	1.00	5.00	T
4.00	10.00	7.00	8.00	6.00	7.00	10.00	2.00	3.00	6.00	9.00	8.00	8.00	11.00	1.00	8.00	W
3.00	5.00	5.00	3.00	2.00	6.00	2.00	2.00	2.00	5.00	2.00	8.00	2.00	6.00	3.00	6.00	A
2.00	2.00	3.00	3.00	2.00	8.00	8.00	6.00	1.00	5.00	6.00	9.00	2.00	9.00	5.00	10.00	Q
9.00	10.00	7.00	14.00	6.00	8.00	7.00	4.00	2.00	12.00	6.00	8.00	3.00	9.00	13.00	6.00	Z
4.00	5.00	6.00	7.00	5.00	9.00	10.00	3.00	2.00	8.00	7.00	7.00	3.00	10.00	8.00	6.00	H
5.00	9.00	8.00	6.00	8.00	6.00	6.00	3.00	4.00	7.00	5.00	8.00	7.00	10.00	7.00	6.00	R
1.00	7.00	0.00	4.00	0.00	7.00	7.00	4.00	4.00	7.00	6.00	8.00	0.00	8.00	0.00	8.00	I
