region-centroid-col	region-centroid-row	region-pixel-count	short-line-density-5	short-line-density-2	vedge-mean	vegde-sd	hedge-mean	hedge-sd	intensity-mean	rawred-mean	rawblue-mean	rawgreen-mean	exred-mean	exblue-mean	exgreen-mean	value-mean	saturation-mean	hue-mean	class
218.00	178.00	9.00	0.11	0.00	0.83	0.55	1.11	0.54	59.63	52.44	75.22	51.22	-21.56	46.78	-25.22	75.22	0.32	-2.04	path
113.00	130.00	9.00	0.00	0.00	0.28	0.25	0.33	0.37	0.89	0.00	2.56	0.11	-2.67	5.00	-2.33	2.56	1.00	-2.12	foliage
202.00	41.00	9.00	0.00	0.00	0.94	0.77	1.11	1.03	123.04	111.89	139.78	117.44	-33.44	50.22	-16.78	139.78	0.20	-2.30	sky
32.00	173.00	9.00	0.00	0.00	1.72	1.78	9.00	6.75	43.59	39.56	52.89	38.33	-12.11	27.89	-15.78	52.89	0.27	-2.00	path
61.00	197.00	9.00	0.00	0.00	1.44	1.52	2.61	1.93	49.59	44.22	61.56	43.00	-16.11	35.89	-19.78	61.56	0.30	-2.02	path
149.00	185.00	9.00	0.00	0.00	1.56	1.07	3.06	1.93	49.33	45.33	59.56	43.11	-12.00	30.67	-18.67	59.56	0.28	-1.95	path
197.00	229.00	9.00	0.00	0.00	1.39	1.57	1.17	0.57	17.74	14.11	17.89	21.22	-10.89	0.44	10.44	21.22	0.34	2.65	grass
29.00	111.00	9.00	0.00	0.00	0.39	0.24	0.61	0.15	5.41	6.89	6.33	3.00	4.44	2.78	-7.22	6.89	0.56	-0.90	brickface
1.00	81.00	9.00	0.00	0.00	12.17	267.46	9.22	205.36	21.33	14.00	30.56	19.44	-22.00	27.67	-5.67	30.56	0.60	-2.44	foliage
69.00	85.00	9.00	0.11	0.00	3.11	8.21	3.94	9.44	21.44	20.44	28.11	15.78	-3.00	20.00	-17.00	28.11	0.44	-1.66	brickface
152.00	83.00	9.00	0.00	0.00	4.44	1.33	0.94	0.68	26.52	23.33	33.22	23.00	-9.56	20.11	-10.56	33.22	0.31	-2.06	cement
248.00	153.00	9.00	0.00	0.00	0.28	0.06	0.11	0.03	0.37	0.00	1.11	0.00	-1.11	2.22	-1.11	1.11	0.89	-2.09	window
137.00	141.00	9.00	0.00	0.00	0.06	0.14	0.06	0.14	0.04	0.00	0.11	0.00	-0.11	0.22	-0.11	0.11	0.11	-2.09	window
86.00	197.00	9.00	0.11	0.11	1.61	1.45	1.28	1.10	63.22	56.22	77.78	55.67	-21.00	43.67	-22.67	77.78	0.29	-2.07	path
220.00	220.00	9.00	0.11	0.00	2.28	1.13	2.28	4.15	6.44	5.67	5.33	8.33	-2.33	-3.33	5.67	8.33	0.43	1.98	grass
207.00	115.00	9.00	0.00	0.00	1.06	0.33	0.17	0.03	1.22	0.44	2.89	0.33	-2.33	5.00	-2.67	2.89	0.93	-2.07	window
6.00	51.00	9.00	0.00	0.00	1.67	2.00	1.61	2.11	19.59	18.78	25.67	14.33	-2.44	18.22	-15.78	25.67	0.44	-1.68	brickface
203.00	182.00	9.00	0.00	0.00	3.72	2.58	3.61	1.71	54.93	49.44	68.11	47.22	-16.44	39.56	-23.11	68.11	0.31	-1.98	path
243.00	120.00	9.00	0.00	0.00	4.44	4.36	1.56	1.83	47.85	44.78	56.33	42.44	-9.22	25.44	-16.22	56.33	0.25	-1.91	cement
146.00	97.00	9.00	0.00	0.00	10.11	4.60	0.61	0.57	47.96	46.00	54.33	43.56	-5.89	19.11	-13.22	54.33	0.20	-1.84	cement
184.00	145.00	9.00	0.00	0.00	0.72	0.61	0.22	0.27	0.56	0.33	1.22	0.11	-0.67	2.00	-1.33	1.22	0.53	-1.92	window
178.00	128.00	9.00	0.00	0.00	0.44	0.34	0.89	0.21	5.93	7.89	6.44	3.44	5.89	1.56	-7.44	7.89	0.56	-0.72	brickface
132.00	134.00	9.00	0.00	0.00	2.67	3.16	1.50	1.54	6.19	2.22	11.44	4.89	-11.89	15.78	-3.89	11.44	0.83	-2.39	foliage
83.00	28.00	9.00	0.00	0.00	0.39	0.14	0.89	0.46	112.96	99.44	131.11	108.33	-40.56	54.44	-13.89	131.11	0.24	-2.39	sky
126.00	237.00	9.00	0.00	0.00	0.94	0.24	1.00	0.49	5.78	4.22	4.22	8.89	-4.67	-4.67	9.33	8.89	0.55	2.10	grass
225.00	58.00	9.00	0.00	0.00	0.33	0.42	0.44	0.34	8.33	5.56	14.11	5.33	-8.33	17.33	-9.00	14.11	0.62	-2.07	window
14.00	120.00	9.00	0.00	0.00	0.33	0.13	0.44	0.30	1.59	0.00	3.89	0.89	-4.78	6.89	-2.11	3.89	1.00	-2.32	foliage
5.00	210.00	9.00	0.00	0.11	2.17	1.67	4.44	2.61	51.30	45.44	64.33	44.11	-17.56	39.11	-21.56	64.33	0.32	-2.02	path
79.00	62.00	9.00	0.00	0.00	0.56	0.39	0.89	0.61	110.18	100.67	127.11	102.78	-28.56	50.78	-22.22	127.11	0.21	-2.18	sky
18.00	83.00	9.00	0.00	0.11	6.17	9.99	12.89	28.79	14.37	9.00	22.67	11.44	-16.11	24.89	-8.78	22.67	0.66	-2.27	foliage
214.00	246.00	9.00	0.00	0.00	2.83	1.92	3.00	1.99	17.52	14.22	15.44	22.89	-9.89	-6.22	16.11	22.89	0.39	2.23	grass
94.00	140.00	9.00	0.00	0.00	0.17	0.03	0.33	0.04	3.04	1.78	6.11	1.22	-3.78	9.22	-5.44	6.11	0.80	-1.99	window
54.00	142.00	9.00	0.00	0.00	0.72	0.83	2.00	2.11	1.81	0.89	3.67	0.89	-2.78	5.56	-2.78	3.67	0.77	-2.09	window
107.00	146.00	9.00	0.00	0.00	1.89	1.01	2.11	1.32	21.37	16.78	29.67	17.67	-13.78	24.89	-11.11	29.67	0.43	-2.16	cement
93.00	236.00	9.00	0.11	0.00	1.78	2.70	2.00	0.93	12.52	9.56	10.78	17.22	-8.89	-5.22	14.11	17.22	0.45	2.27	grass
245.00	249.00	9.00	0.00	0.00	2.00	1.29	1.50	0.61	14.74	10.78	15.33	18.11	-11.89	1.78	10.11	18.11	0.41	2.74	grass
48.00	173.00	9.00	0.00	0.00	1.17	1.07	1.44	1.64	19.22	16.44	16.44	24.78	-8.33	-8.33	16.67	24.78	0.35	2.10	grass
239.00	122.00	9.00	0.00	0.00	0.28	0.06	0.33	0.18	5.56	7.00	6.67	3.00	4.33	3.33	-7.67	7.22	0.58	-0.95	brickface
184.00	145.00	9.00	0.00	0.00	0.94	0.49	1.78	0.93	3.41	2.33	5.78	2.11	-3.22	7.11	-3.89	5.78	0.66	-2.04	window
109.00	146.00	9.00	0.00	0.00	0.06	0.14	0.06	0.14	0.04	0.00	0.11	0.00	-0.11	0.22	-0.11	0.11	0.11	-2.09	foliage
111.00	246.00	9.00	0.00	0.00	3.17	2.09	5.83	4.11	25.89	21.11	22.44	34.11	-14.33	-10.33	24.67	34.11	0.39	2.21	grass
155.00	40.00	9.00	0.00	0.00	1.89	2.07	0.06	0.14	1.26	1.22	1.56	1.00	-0.11	0.89	-0.78	1.56	0.12	-1.57	window
192.00	157.00	9.00	0.00	0.00	1.06	0.51	0.78	0.16	18.33	13.89	17.22	23.89	-13.33	-3.33	16.67	23.89	0.42	2.44	grass
209.00	249.00	9.00	0.00	0.00	2.44	3.63	2.78	4.21	10.52	7.56	8.11	15.89	-8.89	-7.22	16.11	15.89	0.53	2.16	grass
118.00	125.00	9.00	0.00	0.00	0.33	0.30	0.89	0.34	1.15	0.00	3.11	0.33	-3.44	5.89	-2.44	3.11	1.00	-2.18	foliage
43.00	152.00	9.00	0.00	0.00	1.94	1.71	1.22	0.83	1.52	1.00	2.89	0.67	-1.56	4.11	-2.56	2.89	0.65	-1.93	window
247.00	92.00	9.00	0.00	0.00	0.89	0.52	0.44	0.12	12.07	7.56	20.56	8.11	-13.56	25.44	-11.89	20.56	0.63	-2.14	window
63.00	201.00	9.00	0.00	0.00	2.11	1.73	2.50	1.66	61.63	54.89	76.44	53.56	-20.22	44.44	-24.22	76.44	0.30	-2.03	path
33.00	117.00	9.00	0.00	0.00	0.28	0.02	0.11	0.03	1.07	0.00	3.11	0.11	-3.22	6.11	-2.89	3.11	1.00	-2.13	foliage
118.00	85.00	9.00	0.00	0.00	3.28	4.42	2.28	6.82	8.19	3.56	14.89	6.11	-13.89	20.11	-6.22	14.89	0.77	-2.33	foliage
121.00	60.00	9.00	0.00	0.00	2.28	2.33	2.89	2.87	26.74	24.67	35.22	20.33	-6.22	25.44	-19.22	35.22	0.42	-1.78	brickface
218.00	115.00	9.00	0.00	0.00	0.94	0.53	0.39	0.39	22.96	19.44	29.44	20.00	-10.56	19.44	-8.89	29.44	0.34	-2.15	window
209.00	11.00	9.00	0.00	0.00	0.83	0.26	2.17	3.86	141.56	135.11	150.11	139.44	-19.33	25.67	-6.33	150.11	0.10	-2.40	sky
55.00	209.00	9.00	0.11	0.00	1.83	1.30	1.39	1.00	12.52	10.33	10.33	16.89	-6.56	-6.56	13.11	16.89	0.41	2.10	grass
50.00	199.00	9.00	0.00	0.00	3.22	2.98	5.61	4.62	55.67	49.11	69.78	48.11	-19.67	42.33	-22.67	69.78	0.31	-2.05	path
160.00	41.00	9.00	0.00	0.00	0.83	0.81	0.22	0.17	0.70	0.56	1.22	0.33	-0.44	1.56	-1.11	1.22	0.54	-1.85	window
142.00	140.00	9.00	0.00	0.00	4.22	1.29	1.50	0.72	26.44	23.44	32.33	23.56	-9.00	17.67	-8.67	32.33	0.29	-2.10	cement
9.00	94.00	9.00	0.00	0.00	0.61	0.55	1.00	0.67	113.18	106.89	127.56	105.11	-18.89	43.11	-24.22	127.56	0.18	-2.02	sky
108.00	146.00	9.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	foliage
56.00	107.00	9.00	0.00	0.00	1.11	0.21	4.72	20.20	49.81	46.22	58.33	44.89	-10.78	25.56	-14.78	58.33	0.23	-1.99	cement
54.00	176.00	9.00	0.00	0.00	2.11	0.69	2.67	2.69	50.67	46.00	62.67	43.33	-14.00	36.00	-22.00	62.67	0.31	-1.95	path
41.00	103.00	9.00	0.00	0.00	2.44	3.10	1.78	1.50	61.26	56.00	73.44	54.33	-15.78	36.56	-20.78	73.44	0.26	-2.00	cement
67.00	136.00	9.00	0.00	0.00	6.72	3.71	2.67	3.20	15.52	9.00	25.33	12.22	-19.56	29.44	-9.89	25.33	0.66	-2.31	foliage
249.00	58.00	9.00	0.00	0.00	1.33	0.94	0.28	0.33	8.85	6.00	14.56	6.00	-8.56	17.11	-8.56	14.56	0.61	-2.09	window
