Train or Test	Speaker Number	Sex	Feature 0	Feature 1	Feature 2	Feature 3	Feature 4	Feature 5	Feature 6	Feature 7	Feature 8	Feature 9	Class
Train	Andrew	Male	-3.64	0.42	-0.67	1.78	-0.17	1.63	-0.39	0.53	-0.87	-0.81	hid
Train	Andrew	Male	-3.33	0.50	-0.69	1.37	-0.26	1.93	-0.36	0.51	-0.62	-0.49	hId
Train	Andrew	Male	-2.12	0.89	-1.58	0.15	-0.71	1.56	-0.58	0.68	-0.81	-0.05	hEd
Train	Andrew	Male	-2.29	1.81	-1.50	1.01	-1.05	1.06	-0.57	0.23	-0.09	-0.80	hAd
Train	Andrew	Male	-2.60	1.94	-0.85	1.06	-1.63	0.76	0.39	-0.15	0.28	-0.40	hYd
Train	Andrew	Male	-2.85	1.91	-0.75	0.82	-1.59	0.86	0.22	-0.25	0.24	-0.37	had
Train	Andrew	Male	-3.48	2.52	-0.43	1.05	-2.00	0.90	0.32	0.45	0.38	-0.37	hOd
Train	Andrew	Male	-3.94	2.31	0.12	1.77	-1.82	0.59	-0.44	0.99	0.57	-0.30	hod
Train	Andrew	Male	-3.86	2.12	-0.94	0.69	-0.68	1.68	-0.51	0.93	-0.17	-0.43	hUd
Train	Andrew	Male	-3.65	1.81	-1.38	1.58	0.06	1.58	-0.47	0.70	0.06	-0.84	hud
Train	Andrew	Male	-3.03	1.74	-1.14	0.74	-0.83	1.39	-0.57	0.68	-0.02	-0.82	hed
Train	Andrew	Male	-3.65	0.37	-0.60	1.71	-0.22	1.76	-0.35	0.54	-0.80	-0.81	hid
Train	Andrew	Male	-3.24	0.44	-0.86	1.36	-0.25	1.91	-0.40	0.75	-0.77	-0.33	hId
Train	Andrew	Male	-2.13	0.95	-1.63	0.12	-0.70	1.60	-0.63	0.71	-0.90	-0.03	hEd
Train	Andrew	Male	-2.30	1.78	-1.51	0.98	-0.96	0.81	-0.29	0.00	0.12	-0.76	hAd
Train	Andrew	Male	-2.54	2.14	-1.02	0.93	-1.57	1.02	0.19	-0.05	0.31	-0.63	hYd
Train	Andrew	Male	-2.83	2.00	-0.74	0.80	-1.67	0.94	0.25	-0.26	0.26	-0.46	had
Train	Andrew	Male	-3.58	2.37	-0.36	1.16	-1.95	0.62	0.34	0.35	0.41	-0.26	hOd
Train	Andrew	Male	-3.95	2.25	0.13	1.77	-1.91	0.57	-0.43	1.04	0.60	-0.29	hod
Train	Andrew	Male	-3.78	1.97	-1.20	0.61	-0.65	1.50	-0.13	0.53	0.39	-0.58	hUd
Train	Andrew	Male	-3.67	1.81	-1.40	1.62	0.04	1.57	-0.45	0.75	-0.07	-0.73	hud
Train	Andrew	Male	-2.95	1.65	-1.17	0.79	-0.91	1.30	-0.56	0.90	-0.07	-0.84	hed
Train	Andrew	Male	-3.66	0.34	-0.64	1.79	-0.19	1.69	-0.36	0.57	-0.68	-0.84	hid
Train	Andrew	Male	-3.16	0.41	-0.97	1.21	-0.30	1.92	-0.22	0.72	-0.49	-0.43	hId
Train	Andrew	Male	-2.11	1.03	-1.71	0.23	-0.56	1.55	-0.65	0.71	-0.86	-0.15	hEd
Train	Andrew	Male	-2.31	1.75	-1.51	1.02	-0.99	0.94	-0.49	0.21	0.03	-0.85	hAd
Train	Andrew	Male	-2.63	2.15	-1.13	0.91	-1.41	1.10	-0.07	0.12	0.14	-0.69	hYd
Train	Andrew	Male	-2.89	2.13	-0.83	0.68	-1.56	0.82	0.45	-0.38	0.21	-0.40	had
Train	Andrew	Male	-3.63	2.25	-0.39	1.01	-1.69	0.12	0.67	0.28	0.34	0.00	hOd
Train	Andrew	Male	-3.99	2.33	0.10	1.63	-2.01	0.58	-0.34	1.00	0.57	-0.25	hod
Train	Andrew	Male	-3.71	1.82	-1.17	0.65	-0.77	1.70	-0.35	0.92	0.16	-0.36	hUd
Train	Andrew	Male	-3.74	1.83	-1.38	1.59	0.05	1.64	-0.52	0.71	-0.17	-0.52	hud
Train	Andrew	Male	-2.86	1.63	-1.14	0.77	-0.95	1.39	-0.61	0.96	-0.20	-0.73	hed
Train	Andrew	Male	-3.62	0.31	-0.71	1.76	-0.19	1.67	-0.27	0.56	-0.58	-0.84	hid
Train	Andrew	Male	-3.06	0.35	-1.07	1.06	-0.35	1.99	-0.21	0.80	-0.36	-0.30	hId
Train	Andrew	Male	-2.08	1.05	-1.78	0.41	-0.52	1.46	-0.58	0.74	-0.87	-0.17	hEd
Train	Andrew	Male	-2.29	1.85	-1.62	0.99	-0.88	1.04	-0.55	0.20	-0.07	-0.81	hAd
Train	Andrew	Male	-2.72	2.07	-1.14	0.92	-1.16	1.17	-0.28	0.17	-0.01	-0.65	hYd
Train	Andrew	Male	-3.02	2.23	-0.90	0.57	-1.33	0.55	0.61	-0.45	0.04	-0.16	had
Train	Andrew	Male	-3.56	2.13	-0.44	1.05	-1.76	0.35	0.55	0.32	0.44	-0.12	hOd
Train	Andrew	Male	-4.07	2.28	0.15	1.56	-1.61	-0.05	0.22	0.25	0.77	0.13	hod
Train	Andrew	Male	-3.62	1.58	-1.14	0.70	-0.74	1.63	-0.39	1.09	0.23	-0.39	hUd
Train	Andrew	Male	-3.69	1.78	-1.59	1.60	0.12	1.42	-0.22	0.44	0.21	-0.71	hud
Train	Andrew	Male	-2.69	1.65	-1.26	0.67	-0.96	1.45	-0.59	1.00	-0.30	-0.54	hed
Train	Andrew	Male	-3.59	0.29	-0.78	1.71	-0.17	1.66	-0.14	0.49	-0.49	-0.93	hid
Train	Andrew	Male	-3.05	0.39	-1.16	0.94	-0.39	1.98	-0.19	0.81	-0.39	-0.20	hId
Train	Andrew	Male	-2.26	0.90	-1.72	0.45	-0.52	1.45	-0.61	0.76	-0.88	-0.12	hEd
Train	Andrew	Male	-2.30	1.85	-1.70	1.07	-0.86	1.05	-0.61	0.31	-0.25	-0.76	hAd
Train	Andrew	Male	-2.91	1.93	-1.13	0.90	-0.91	1.11	-0.21	-0.05	-0.03	-0.54	hYd
Train	Andrew	Male	-3.09	2.34	-0.97	0.46	-1.17	0.54	0.60	-0.45	-0.08	-0.04	had
Train	Andrew	Male	-3.46	2.09	-0.60	0.94	-1.84	0.60	0.46	0.40	0.47	-0.21	hOd
Train	Andrew	Male	-4.21	2.45	0.05	1.33	-2.09	0.58	-0.05	0.82	0.61	-0.30	hod
Train	Andrew	Male	-3.54	1.39	-1.22	0.70	-0.77	1.58	-0.38	1.16	0.18	-0.18	hUd
