animal	hair	feathers	eggs	milk	airborne	aquatic	predator	toothed	backbone	breathes	venomous	fins	legs	tail	domestic	catsize	type
aardvark	true	false	false	true	false	false	true	true	true	true	false	false	4.00	false	false	true	mammal
antelope	true	false	false	true	false	false	false	true	true	true	false	false	4.00	true	false	true	mammal
bass	false	false	true	false	false	true	true	true	true	false	false	true	0.00	true	false	false	fish
bear	true	false	false	true	false	false	true	true	true	true	false	false	4.00	false	false	true	mammal
boar	true	false	false	true	false	false	true	true	true	true	false	false	4.00	true	false	true	mammal
buffalo	true	false	false	true	false	false	false	true	true	true	false	false	4.00	true	false	true	mammal
calf	true	false	false	true	false	false	false	true	true	true	false	false	4.00	true	true	true	mammal
carp	false	false	true	false	false	true	false	true	true	false	false	true	0.00	true	true	false	fish
catfish	false	false	true	false	false	true	true	true	true	false	false	true	0.00	true	false	false	fish
cavy	true	false	false	true	false	false	false	true	true	true	false	false	4.00	false	true	false	mammal
cheetah	true	false	false	true	false	false	true	true	true	true	false	false	4.00	true	false	true	mammal
chicken	false	true	true	false	true	false	false	false	true	true	false	false	2.00	true	true	false	bird
chub	false	false	true	false	false	true	true	true	true	false	false	true	0.00	true	false	false	fish
clam	false	false	true	false	false	false	true	false	false	false	false	false	0.00	false	false	false	invertebrate
crab	false	false	true	false	false	true	true	false	false	false	false	false	4.00	false	false	false	invertebrate
crayfish	false	false	true	false	false	true	true	false	false	false	false	false	6.00	false	false	false	invertebrate
crow	false	true	true	false	true	false	true	false	true	true	false	false	2.00	true	false	false	bird
deer	true	false	false	true	false	false	false	true	true	true	false	false	4.00	true	false	true	mammal
dogfish	false	false	true	false	false	true	true	true	true	false	false	true	0.00	true	false	true	fish
dolphin	false	false	false	true	false	true	true	true	true	true	false	true	0.00	true	false	true	mammal
dove	false	true	true	false	true	false	false	false	true	true	false	false	2.00	true	true	false	bird
duck	false	true	true	false	true	true	false	false	true	true	false	false	2.00	true	false	false	bird
